signevent,q1,q2,unid,id,outcome_class,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Emoji
I will be going to Plymouth to spend time with my eldest son Josh. We will travel down on Friday and spend the whole wee,"The weekend will be full of barbecues, and fun things that do not take too much energy as he's ill",JOsh is my 25 year old son who has never moved away from my home town of Plymouth. I moved to Wales 2 years ago for work and travel back every couple of months to visit him,IU015292,462,t,1,57,49.71,43.02,92.93,86.53,28.5,5.26,92.98,50.88,14.04,8.77,5.26,0,0,3.51,0,5.26,1.75,15.79,10.53,5.26,5.26,3.51,19.3,5.26,1.75,1.75,3.51,5.26,3.51,3.51,0,0,0,0,8.77,1.75,0,0,5.26,5.26,0,0,0,0,3.51,1.75,0,0,0,0,1.75,0,1.75,0,0,3.51,0,1.75,0,1.75,0,5.26,14.04,1.75,26.32,7.02,7.02,14.04,1.75,5.26,1.75,0,0,0,0,0,0,0,0,0,5.26,1.75,1.75,0,0,0,0,0,0,1.75,0,0,0
Visiting and having lunch with my Dad,"My Dad will be coming over for a visit and lunch this weekend, on Sunday. He will arrive at around 12noon and we'll cook lunch together, and then visit for awhile and probably watch some TV or listen to music. We may also go for a walk or play a board game. He will stay until probably about 3pm. Visiting with my Dad is the highlight of my week.","The fact that this is my favourite part of each week. I'm very close with my Dad, so it is the highlight of the week when he comes over to have a meal with me and when we visit together to catch up on what our week was like.",rM590640,463,t,1,118,51.75,86.47,96.89,57.83,16.86,7.63,97.46,63.56,16.1,11.86,5.93,3.39,0,2.54,0,4.24,6.78,18.64,10.17,8.47,11.02,0,19.49,0,0.85,2.54,1.69,2.54,1.69,1.69,0,0,0,0,15.25,2.54,0,0,5.08,5.93,0,0,0,5.08,0.85,1.69,2.54,0.85,1.69,0,3.39,0,0,0,3.39,8.47,5.93,0,2.54,0,0,0.85,11.02,5.93,27.12,9.32,9.32,9.32,0,5.08,0,0,0,0,0,0,0,0,0,0,10.17,5.93,2.54,0,0,0,0,0,0,1.69,0,0,0
Celebrating my colleagues 21st birthday with a group of workmates,I’m going to a bar round the corner from work with my colleagues straight from work in order to celebrate Megs 21st birthday. We have a table booked and the night will start straight after work from around 4:30pm.,"The name of my colleague who’s birthday it is is Meg, her actual birthday is 30th July but we’re celebrating early as she won’t be in work for her actual birthday. It’s happening on Thursday 26th July and we’ll be celebrating at Simmons which is a bar just around the corner from work. It will start at 4:30pm as we finish work at 4pm. There will be around 15-20 people attending.",OP064142,464,t,1,112,74.79,89.42,86.72,25.77,18.67,13.39,94.64,53.57,13.39,8.93,2.68,3.57,0,2.68,0,4.46,6.25,18.75,13.39,4.46,4.46,0.89,19.64,6.25,2.68,1.79,8.04,0,0,0,0,0,0,0,13.39,0,1.79,2.68,0,0.89,0,0,0,0,0,0.89,0.89,0.89,0,0.89,1.79,0,0,0,1.79,14.29,8.04,8.04,0.89,0,0,0,17.86,5.36,26.79,1.79,11.61,12.5,8.04,5.36,0,0,0,0,0,0,0,0,0,0,14.29,5.36,0.89,1.79,0,0,0,0.89,0,5.36,0,0,0
My undergraduate graduation ceremony next week,"It will begin at 10:30am on Tuesday and last until approximately 12:30. After that I will attend a reception being held in my campus building between 2 and 4 pm. On the day, I will be instructed to attend registration two hours before the start of the ceremony to allow for ticket collection and for the academic robes to be collected and worn correctly. Also, on the day, both my mother and brother will be attending as my guests.","I can tell you the specific times the ceremony will start and end, where it is taking place, who is likely to be there, the colour of the robes I will be wearing, what course the ceremony is for, and many other small details that only somebody attending would know about.",rs625929,465,t,1,132,71.78,50,78.62,25.77,26.4,15.91,91.67,56.82,12.12,6.06,5.3,0,0.76,0,0,6.06,8.33,15.15,12.88,3.79,7.58,0,18.94,5.3,2.27,2.27,5.3,2.27,0,0,0,0,0,0,5.3,1.52,0.76,0.76,0.76,6.82,0.76,0.76,0.76,2.27,1.52,0.76,0.76,0.76,0,0,0.76,0.76,0,0,0,3.03,0.76,0,1.52,0.76,0,1.52,12.12,4.55,19.7,3.03,6.82,9.85,3.79,0.76,0,0,0,0,0,0,0,0,0,0,11.36,3.79,6.06,1.52,0,0,0,0,0,0,0,0,0
start making and testing my new candle making hobby,"i have just purchased a candle making starter kit and will begin by making a batch of candles and testing the burn time, aroma and how the wick works in relation to the soy wax and different fragrances being used.","i could explaing what i received in my started kit ie jug thermometer, soy wax, fragrance wicks and tins. also i could explaing about the temp the wax has to be to pour in the fragrance so it doesnt burn off and to make sure the wax is the right temp to pour into the tins so it doesnt frost which can be a major issue with soy candles",wW864012,466,t,1,109,74.05,26.03,14.6,42.41,36.33,13.76,77.06,53.21,8.26,4.59,4.59,0,0,0,0,3.67,11.01,12.84,11.01,5.5,9.17,1.83,17.43,0.92,0.92,2.75,0,0,0.92,0.92,0,0,0,0,0.92,0,0,0,0,9.17,0.92,4.59,1.83,0,0.92,0.92,8.26,2.75,0,1.83,0.92,0,0.92,0,0,1.83,0.92,0.92,0,0,0,1.83,10.09,0.92,10.09,0.92,5.5,4.59,1.83,0,0,0.92,0,0,0,0,0,0,0,0,4.59,1.83,2.75,0,0,0,0,0,0,0,0,0,0
"Going out to dinner and drinks with my partner and friends to celebrate my partner, who is having an important surgery.","My partner is a transgender man who has been waiting to have top surgery for over a year now. He is finally booked in for Wednesday next week, and because we will not be able to celebrate for a long time afterwards as he recovers, on Saturday we are going out to dinner and then out drinking to celebrate this important milestone.","We are going to an Italian restaurant in our city, and then out to the valley, which is the part of our city with a bunch of clubs and bars. There will be around 6-8 of us, depending on whether a couple of his work friends can make it, and we will be going to several of our favourite bars, including a gay club and a boardgame bar. We are going on Saturday because he works weekdays, but I work on Friday nights, so it was the best day possible for all of us to make it.",YX782080,467,t,1,159,78.17,93.42,64.76,61.55,31.8,17.61,96.86,62.26,13.84,10.06,1.26,6.29,0,2.52,0,3.77,6.92,20.13,10.69,3.14,8.81,0.63,15.09,3.14,1.89,1.89,0.63,3.14,1.89,1.89,0,0,0,0,12.58,0,1.26,0,3.14,6.29,0,3.14,0,1.26,0.63,1.89,0,0,0,0,5.03,0,0.63,0.63,3.77,15.72,10.06,5.66,2.52,0.63,0,1.26,11.32,5.66,22.64,2.52,10.06,10.06,2.52,6.29,0,0,0,0,0,0,0,0,0,0,9.43,3.14,5.66,0,0,0,0,0.63,0,0,0,0,0
Hiking,"This weekend I will go hiking in the hills around my home town. I am not sure yet what actual route I will be taking as there are many options. I am likely to start off early in the morning before it gets too warm and head for a hill before then deciding how far or which other hills I want to  take on. I imagine that I will be out for about 2 to 3 hours. I actually am really looking forward to walking in some woods on the way as I find walking in woods particularly relaxing. Friends will also accompany me, which I haven't seen for a while, so I am equally looking forward to catching up with them while doing something active.",I don't think there is any one bit of information I could give that would lend credence to what I have just said. I could give a more detailed description of the route I plan to take but that information would also be a flawed indicator as my knowledge of routes relies on past walks and are no indicator of whether or not I will go for a hike this weekend.,QP850409,468,t,1,197,38.95,6.41,99,64.27,24.63,14.72,93.4,61.93,16.75,10.66,10.15,0,0,0,0.51,6.09,4.57,16.75,11.68,7.11,8.12,2.54,22.84,5.58,3.55,3.05,1.52,3.05,2.03,2.03,0,0,0,0,2.54,0,0.51,0,0,15.23,3.55,0.51,2.54,3.55,1.02,5.08,2.54,1.52,0.51,0.51,0.51,0.51,0,0,0,4.57,1.02,0.51,1.02,2.03,0,1.52,13.2,3.55,19.8,4.57,9.64,7.61,0,2.54,0.51,0.51,0,0,0,0,0,0,0,0,6.09,4.06,1.02,0,0,0,0,0,0,1.02,0,0,0
Playing World Of Warcraft on my PC,World Of Warcraft is an MMORPG video game which can be played on a PC. You can play online with friends.,"When my 2 year old goes to bed, I use the remaining hours of the day before bed to play World Of Warcraft.
This is my own personal leisure time.",jT743526,469,t,1,51,91.24,65.27,85.89,98.87,12.75,11.76,90.2,47.06,11.76,7.84,5.88,0,1.96,0,0,3.92,7.84,15.69,9.8,1.96,1.96,0,11.76,3.92,1.96,3.92,1.96,1.96,7.84,5.88,0,0,0,0,7.84,0,1.96,0,0,1.96,0,1.96,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,5.88,5.88,0,0,0,0,1.96,13.73,0,21.57,1.96,5.88,13.73,1.96,11.76,3.92,0,0,0,1.96,0,1.96,0,0,0,9.8,7.84,1.96,0,0,0,0,0,0,0,0,0,0
Running,"This is one of my weekly runs, I run twice a week every week and it is my favourite thing to do. It is so good for my health and well being. I love to run and hate when I have to miss a run.","I run twice a week, I log all my runs on Strava, I average 18-20 km a week (or 11-12 miles). I have several routes I like to use.",iS937058,470,t,1,74,33.21,5.26,99,75.85,14.8,4.05,97.3,56.76,21.62,16.22,16.22,0,0,0,0,5.41,5.41,10.81,9.46,4.05,8.11,0,21.62,1.35,1.35,1.35,6.76,5.41,8.11,5.41,2.7,0,1.35,1.35,1.35,0,0,0,0,5.41,0,1.35,0,1.35,2.7,1.35,0,0,0,0,2.7,0,1.35,0,0,2.7,1.35,0,0,1.35,0,0,20.27,0,21.62,8.11,5.41,8.11,0,0,0,0,0,0,1.35,0,0,0,1.35,0,16.22,6.76,4.05,0,0,0,0,2.7,0,0,2.7,0,0
I will be visiting York with my friend Richard on Friday. We are meeting at 11:30am and aim to return home at around 8pm,Me and my friend Richard will be driving to York and we plan to have some lunch and do some shopping. We may even go to the pub.,We organised the day via text message as we have been trying to meet up for weeks but I have a 1 year old son and work full time so finding a day where we are both free is quite difficult,Ac611744,471,t,1,69,43.64,92.62,80.16,25.77,23,10.14,94.2,55.07,11.59,11.59,4.35,7.25,0,0,0,0,5.8,11.59,14.49,4.35,10.14,0,18.84,5.8,1.45,1.45,1.45,4.35,2.9,1.45,1.45,0,0,0,13.04,1.45,1.45,0,1.45,10.14,1.45,0,0,7.25,0,1.45,0,0,0,0,1.45,0,0,0,1.45,18.84,11.59,4.35,1.45,0,1.45,1.45,14.49,4.35,18.84,2.9,7.25,8.7,1.45,2.9,0,2.9,0,0,0,0,0,0,0,0,2.9,2.9,0,0,0,0,0,0,0,0,0,0,0
Taking my dog to his first dog show,At 4 years old I have decided to enter my Chocolate Lab henry in the obedience class of a local dog show this Saturday for the first time ever.,The Dog show is held at Dartford park every year. We have been looking forward to it for months and have been putting in lots of extra training for Henry as Chocolate Labs are not the most obedient breed but we think he has what it takes to win.,ho848807,472,t,1,78,87.08,50,83.83,49.64,26,14.1,87.18,50,11.54,6.41,2.56,2.56,0,1.28,0,5.13,6.41,16.67,10.26,1.28,3.85,1.28,17.95,3.85,2.56,1.28,2.56,5.13,1.28,1.28,0,0,0,0,3.85,0,0,0,1.28,12.82,2.56,2.56,0,2.56,2.56,2.56,3.85,3.85,0,0,2.56,0,0,0,2.56,8.97,2.56,2.56,3.85,2.56,0,5.13,11.54,0,20.51,3.85,7.69,11.54,1.28,0,0,0,0,0,0,0,0,0,0,0,3.85,3.85,0,0,0,0,0,0,0,0,0,0,0
Yoga class on Friday,Beginners yoga at a leisure centre in my local area. This class is for one hour,"You can check the class times on their website, and I can show you my registration on my customer portal login",Qp661450,473,t,1,37,70.25,60.66,99,25.77,18.5,13.51,83.78,51.35,21.62,18.92,10.81,0,5.41,0,2.7,2.7,5.41,13.51,8.11,0,2.7,0,2.7,0,0,0,2.7,0,0,0,0,0,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0,2.7,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11,0,24.32,0,18.92,5.41,10.81,2.7,0,2.7,0,0,0,0,0,0,0,0,5.41,2.7,2.7,0,0,0,0,0,0,0,0,0,0
I will be spending time celebrating my sister's birthday on Saturday.,"I will meet my family at my sister's choice of restaurant, where we will have dinner. I will then travel to my parents' home where we will have birthday cake and give presents to my sister.","My sister's birthday is actually on Thursday, though we will celebrate on Saturday so that everyone can attend. I am secretly a little disappointed to be losing one of my weekend days to family obligations.",tz598289,474,t,1,71,17.92,80.09,99,1.98,17.75,22.54,97.18,59.15,19.72,16.9,12.68,4.23,0,0,0,2.82,1.41,12.68,15.49,7.04,5.63,0,19.72,0,0,2.82,1.41,0,2.82,0,2.82,0,0,2.82,19.72,8.45,0,4.23,0,5.63,1.41,0,0,0,1.41,2.82,0,0,0,0,4.23,0,0,0,4.23,16.9,15.49,2.82,0,0,1.41,0,14.08,8.45,21.13,2.82,8.45,9.86,0,8.45,4.23,0,0,0,0,0,0,0,0,0,12.68,5.63,2.82,0,0,0,0,0,0,4.23,0,0,0
My cousin's 21st birthday party disco,It is at the power league in stanground. There will be my twim cousin's amd a dj amd some snacks. Lots of cheap drink! My whole family will be there so will be good to celebrate with everyone. It stqrts at 2000 hrs.,You can check out the venue and confirm the booking or look in my diary on my phone to confirm that this is an event and there isnt much else planned in my schedule. I never get to go out for a drink so its important!,kS176557,475,t,1,89,58.4,32.66,66.74,68.2,12.71,11.24,88.76,58.43,14.61,7.87,6.74,0,1.12,0,0,6.74,6.74,15.73,11.24,6.74,5.62,2.25,13.48,0,0,0,1.12,4.49,2.25,2.25,0,0,0,0,6.74,2.25,0,0,0,7.87,0,0,0,3.37,2.25,3.37,3.37,1.12,2.25,0,3.37,0,0,0,3.37,11.24,4.49,2.25,3.37,2.25,0,0,11.24,3.37,13.48,1.12,8.99,3.37,2.25,7.87,1.12,1.12,0,0,0,0,0,0,0,0,8.99,5.62,0,0,0,0,2.25,0,0,1.12,0,0,0
Having a date night in dinner with my partner,At the weekend my partner is cooking a three course meal for me at home,"We will be having a tapas starter, paella for main, and cheesecake for dessert",jD468295,476,t,1,29,93.26,63.49,47.93,25.77,29,20.69,89.66,55.17,10.34,10.34,6.9,3.45,0,0,0,0,10.34,17.24,13.79,0,3.45,0,13.79,0,0,0,3.45,0,0,0,0,0,0,0,6.9,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,13.79,0,0,0,13.79,6.9,6.9,0,0,0,0,0,6.9,3.45,13.79,0,6.9,6.9,3.45,6.9,3.45,0,0,0,0,0,0,0,0,0,6.9,0,6.9,0,0,0,0,0,0,0,0,0,0
hosting a bbq for family and friends,"preparing food, pouring drinks, providing cutlery, playing music, ensuring everyone is fed and happy, networking.","i have  a plan in place for my partner to get the meat and salad on friday afternoon after work (he finishes at 1pm). We already have a store of alcohol and charcoal and lighters. Recently purchased a webber metal ""thing"" which the coals go in to start the bbq quicker and ensure evenly spread heat! parents are on slimming world plan so they wont eat burgers and sausages. we will get them fish to steam in foil and steak for the bbq. also colslaw made from quark and yoghurt and veg as this is within their plan. Spotify will provide the music and we have garden furniture and candles for when it gets a bit darker.",PD394136,477,t,1,132,71.78,81.84,16.48,54.29,16.5,21.21,82.58,48.48,10.61,6.82,1.52,2.27,0,0.76,2.27,3.79,6.82,12.88,6.82,3.03,11.36,0.76,14.39,4.55,3.79,1.52,0.76,0.76,1.52,1.52,0,0,0,0,9.09,0.76,0.76,0,0.76,1.52,0,0.76,0,0,0.76,0,3.03,1.52,1.52,0,7.58,0,0.76,0,7.58,9.09,3.79,3.03,0,2.27,0,2.27,11.36,5.3,14.39,0.76,6.82,6.82,0.76,5.3,1.52,1.52,0,0,0,0,0,0,0,0,12.88,5.3,3.79,0,0,0,0.76,0,1.52,0,1.52,0,0
Best Friends Birthday,We will be celebrating my best friends 30th birthday. We will be leaving for the weekend to Spain and we will celebrate the whole time.,My best friends birthday is on the 21st of this month and we are leaving tomorrow the 20th to begin the festivities. Tickets are bought and everything is booked.,kJ645298,478,t,1,54,56.91,97.9,58.07,98.27,13.5,24.07,98.15,55.56,14.81,11.11,3.7,7.41,0,0,0,3.7,9.26,9.26,16.67,0,5.56,0,24.07,3.7,3.7,0,5.56,1.85,5.56,5.56,0,0,0,0,16.67,0,3.7,0,0,1.85,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,18.52,14.81,7.41,3.7,3.7,0,1.85,12.96,7.41,18.52,3.7,1.85,12.96,1.85,11.11,0,1.85,0,0,0,0,0,0,0,0,7.41,7.41,0,0,0,0,0,0,0,0,0,0,0
Going to the farm with my family. We will get there at 10:30 and leave at about 3:30pm.,I am on holiday with my family. We have decided to go for a fun day out at the farm. We thought our 2 year old and 4 year old would enjoy it. It will take 46 minutes (according to google maps) to get there. We hope to arrive for opening time at 10:30am.,"We are going to Easton Farm Park in Suffolk- it’s opening time is 10:30am. It is our last proper day of the holiday as a family of four, so we wanted to do something special together.",zw941469,479,t,1,92,82.97,94.84,80.16,93.61,13.14,13.04,92.39,50,15.22,9.78,2.17,7.61,0,0,0,5.43,4.35,18.48,9.78,2.17,3.26,0,19.57,3.26,1.09,0,8.7,0,4.35,4.35,0,0,0,0,10.87,2.17,0,0,0,6.52,2.17,0,3.26,2.17,0,0,0,0,0,0,0,0,0,0,0,13.04,10.87,0,0,2.17,0,2.17,13.04,3.26,25,3.26,10.87,10.87,0,5.43,2.17,0,0,0,0,0,0,0,0,0,15.22,7.61,1.09,2.17,0,0,0,1.09,0,1.09,2.17,0,0
I'll head to Staffordshire with my partner to meet my parents. We'll eat at our favourite Indian Restaurant,I'm heading up to Staffordshire via train with my partner. We'll meet my parents and then eat at our favourite Indian restaurant. We've gone there for years and it's something of a tradition,"I couldn't show you receipts, but I can assure you I'll almost certainly have the Balti Mushroom and Jalepeno at Vindaloo strength. I could describe the decor too, although they might have changed the wall murals since I was last there.",WM336104,480,t,1,74,15.54,65.76,84.25,97.99,18.5,24.32,87.84,62.16,21.62,18.92,10.81,4.05,2.7,0,1.35,2.7,5.41,12.16,16.22,5.41,8.11,1.35,22.97,0,0,0,0,0,5.41,5.41,0,0,0,0,12.16,1.35,1.35,0,0,14.86,0,2.7,2.7,4.05,2.7,2.7,1.35,1.35,0,0,2.7,0,0,0,2.7,13.51,9.46,0,4.05,0,0,5.41,10.81,6.76,16.22,4.05,6.76,5.41,1.35,1.35,0,0,0,0,0,0,0,0,0,0,16.22,5.41,2.7,0,0,0,0,0,0,8.11,0,0,0
Fishing at the lake with my friend Mike,"On Saturday, my friend, Mike, and I will go fishing at the lake. This is a great time for both of us, as it gives us a break from our busy schedules and, gets us out into nature to catch some fish for dinner, later Saturday night with our partners.","We start out at about 5 AM, pack the car with equipment and supplies. Then it's about a 30 minute drive to the lake  where we will spend the next 6 hours, trying our luck with the fish and whiling away the time whether we speak or not.",MS022034,481,t,1,98,89.92,94.86,97.35,64.46,24.5,9.18,89.8,56.12,14.29,11.22,2.04,9.18,0,0,0,3.06,9.18,19.39,5.1,3.06,8.16,1.02,12.24,5.1,2.04,2.04,3.06,2.04,2.04,2.04,0,0,0,0,13.27,0,2.04,0,0,6.12,0,0,0,4.08,0,3.06,1.02,0,1.02,0,1.02,0,0,0,1.02,15.31,11.22,1.02,0,3.06,0,0,9.18,3.06,27.55,4.08,9.18,13.27,2.04,1.02,0,1.02,0,0,0,0,0,0,0,0,13.27,4.08,8.16,0,0,0,0,0,0,1.02,0,0,0
Beer Festival On Saturday With Family & Friends,Five members of close family are getting together at a beer festival fairly close to my home.,It is an event that has been publicised. The event is one for which I am excited about as the people that are attending do not normally get the opportunity to all get together at the same time. I also get to see my two young granddaughters together which will be the best. The weather looks to be lovely.,ch979550,482,t,1,76,79.9,55.22,50.35,99,15.2,17.11,97.37,52.63,11.84,5.26,5.26,0,0,0,0,6.58,10.53,13.16,14.47,2.63,2.63,1.32,22.37,6.58,3.95,2.63,3.95,1.32,6.58,6.58,0,0,0,0,9.21,2.63,0,1.32,0,5.26,0,0,1.32,1.32,1.32,1.32,2.63,2.63,0,0,1.32,0,0,0,1.32,15.79,6.58,2.63,1.32,9.21,0,1.32,18.42,1.32,15.79,1.32,9.21,5.26,0,3.95,2.63,0,0,0,0,0,0,0,0,0,6.58,6.58,0,0,0,0,0,0,0,0,0,0,0
Having lunch with family,My dad will pick me up from my flat then will pick my nan up then will go to their house to have lunch,my sister and my nephews are coming down from Leeds so will be going to my parents house for lunch,Ok788703,483,t,1,44,38.6,32.48,99,25.77,44,4.55,95.45,63.64,18.18,18.18,15.91,0,0,0,2.27,0,0,20.45,15.91,2.27,9.09,0,27.27,2.27,0,0,0,0,0,0,0,0,0,0,11.36,9.09,0,2.27,4.55,4.55,0,4.55,0,0,0,0,0,0,0,0,4.55,0,0,0,4.55,11.36,4.55,0,6.82,0,0,0,13.64,18.18,20.45,6.82,9.09,4.55,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tomorrow, we will be going to one of the UK's best theme parks.","Our day will be spent at Blackpool Pleasure Beach. We cannot wait to try out the new rollercoaster, Ikon, have heard great things about it
 Love a day at a theme park, so much to do and so much to see!",We are currently on holiday in Blackpool and have loads of activities planned. We have been to the zoo and are going to the pleasure beach tomorrow. Have a visit to the sea life centre planned as well.,ki953371,484,t,1,79,80.6,87.27,36.87,99,15.8,13.92,88.61,55.7,7.59,5.06,0,5.06,0,0,0,2.53,8.86,17.72,13.92,5.06,7.59,1.27,22.78,3.8,1.27,0,0,2.53,6.33,6.33,0,0,0,0,8.86,0,0,0,0,2.53,0,0,0,1.27,0,1.27,2.53,1.27,1.27,0,2.53,0,1.27,0,0,11.39,6.33,3.8,0,1.27,0,3.8,16.46,3.8,17.72,2.53,7.59,7.59,0,5.06,0,1.27,0,0,1.27,0,0,0,1.27,0,10.13,5.06,3.8,0,0,0,1.27,0,0,0,0,0,0
Going to get my nails done,"I get my nails done once a month by a lady called Sarah, she has a salon in her back garden and it's very chilled. We listen to music and chat about life, it's so relaxing!","I could show your an email confirming my appointment...
Or a picture of my grown out nails!",TX597258,485,t,1,53,39.9,82.73,25.14,61.55,13.25,9.43,86.79,58.49,20.75,16.98,9.43,1.89,1.89,3.77,0,3.77,9.43,11.32,9.43,7.55,7.55,0,15.09,0,0,0,1.89,0,1.89,1.89,0,0,0,0,16.98,0,0,5.66,0,3.77,0,0,1.89,1.89,0,1.89,7.55,3.77,3.77,0,1.89,0,1.89,0,0,5.66,3.77,0,0,1.89,0,5.66,9.43,0,11.32,1.89,5.66,5.66,0,7.55,1.89,0,0,0,0,0,0,0,0,0,18.87,7.55,3.77,0,0,0,3.77,0,0,3.77,0,0,0
celebrating a 40th birthday of a friend,"As support to my neighbours we have been invited to their son in laws 40th suprise birthday and my husband is providing the dj services, we let them down on their wedding anniversary and they always include us so it is important that we go and be included as friends.","I can provide a copy of the invite and although its not the best reason I am not going to lie about my reasons for going even though its a  conventional reason to go to a party its the truth, I am a bit of a hermit and enjoy staying in but will make an effort and go.",bJ049178,486,t,1,108,51.66,74.17,79.42,98.27,54,17.59,93.52,62.04,17.59,12.96,5.56,3.7,0,0,3.7,4.63,9.26,13.89,9.26,3.7,11.11,1.85,15.74,2.78,2.78,0,0.93,0.93,5.56,5.56,0,0,0,0,14.81,2.78,1.85,0,1.85,10.19,2.78,3.7,0,0,1.85,4.63,0.93,0,0.93,0,0,0,0,0,0,12.04,7.41,1.85,3.7,0.93,0,1.85,12.96,2.78,12.96,5.56,5.56,2.78,2.78,1.85,0.93,0,0,0,0,0,0,0,0,0,3.7,1.85,1.85,0,0,0,0,0,0,0,0,0,0
I will be marathon training 4 days out of the next 7 on my own,"The first session which will be on sunday, is a slow long run of approximately 10 miles at 9 minute miles. This is followed up by an interval session on the monday 1km tempo followed by 1km of 10 minute miles.  Weds is a casual 5 mile run with Friday being a slightly longer run of 7 miles at no specific pace.","That I, just this last weekend, I completed the spitfire scramble in a team of 8.  This was a challenging run but has given me confidence to train for the marathong",kQ823546,487,t,1,93,97.44,37.35,99,66.47,18.6,16.13,93.55,47.31,8.6,3.23,3.23,0,0,0,0,5.38,10.75,16.13,8.6,1.08,1.08,1.08,17.2,3.23,1.08,1.08,9.68,1.08,3.23,2.15,0,0,0,0,2.15,0,0,0,0,5.38,0,0,0,1.08,3.23,1.08,0,0,0,0,0,0,0,0,0,6.45,2.15,4.3,2.15,1.08,0,5.38,10.75,1.08,31.18,7.53,13.98,10.75,4.3,4.3,0,0,0,0,0,0,0,0,0,0,7.53,4.3,3.23,0,0,0,0,0,0,0,0,0,0
Taking a swim in the sea.,I live near the sea and a couple of times a week I go down and swim for about 30 minutes.  I am a strong swimmer but not very fast.  I cover maybe 1km in each session.,Sea swimming is pretty popular in this area even though the sea is pretty cold.  At the weekends there are clubs of sea swimmers out all day.  I am not a club swimmer but enjoy the cold water on a sunny day and swim for as long as I can before I have to get out.  I just wish there were shower and locker facilities down there.,yo625743,488,t,1,104,79.1,8.92,99,98.66,14.86,8.65,93.27,57.69,8.65,7.69,7.69,0,0,0,0,0.96,8.65,17.31,7.69,8.65,8.65,1.92,10.58,6.73,2.88,0,1.92,2.88,5.77,5.77,0,0,0,0,0.96,0,0,0,0,9.62,0,0,0.96,2.88,0.96,4.81,2.88,0.96,0,1.92,1.92,0,0.96,0,0.96,5.77,1.92,0,2.88,0.96,0,0.96,9.62,0.96,25,7.69,10.58,7.69,0.96,8.65,0.96,0,0,0,0,0,0,0,0,0,6.73,6.73,0,0,0,0,0,0,0,0,0,0,0
Celebrating my birthday with my wife Lisa on Sunday.,"We will wake up, eat breakfast, and lounge around watching tv for the first couple hours. We might have some drinks with friends later then come home and try out new toys we bought. After that we will just go to bed, one of the few times we do so together.",My birthday is indeed this week and I specifically scheduled to have off of work on Sunday since it's also my wife's day off.,lN268917,489,t,1,75,52.71,90.87,98.01,25.77,18.75,9.33,100,57.33,14.67,10.67,4,6.67,0,0,0,4,2.67,18.67,10.67,8,8,0,18.67,5.33,2.67,0,2.67,4,0,0,0,0,0,0,10.67,1.33,1.33,1.33,0,8,0,1.33,0,4,2.67,0,1.33,1.33,0,0,5.33,1.33,0,0,4,16,10.67,4,1.33,0,0,1.33,13.33,5.33,29.33,2.67,9.33,17.33,2.67,5.33,2.67,1.33,0,0,1.33,0,0,1.33,0,0,12,5.33,4,0,0,0,0,0,0,2.67,0,0,0
Listening to all of Michael Jackson's discography,"I am going to listen to all of Michael Jackson's albums in order, including albums by the Jackson 5 and albums that have been released posthumously.",After I am finished I will be ranking all his albums and giving a list of my top 10 songs.,MB538826,490,t,1,46,80.93,41.41,27.39,66.89,23,17.39,78.26,52.17,13.04,10.87,8.7,0,0,2.17,0,2.17,4.35,17.39,13.04,0,4.35,0,21.74,4.35,4.35,0,4.35,4.35,2.17,2.17,0,0,0,0,6.52,0,0,0,2.17,4.35,0,0,0,0,4.35,0,4.35,0,4.35,0,0,0,0,0,0,6.52,0,4.35,4.35,0,0,4.35,10.87,4.35,10.87,2.17,4.35,2.17,0,2.17,0,0,0,0,0,0,0,0,0,0,8.7,4.35,2.17,0,0,0,0,0,0,2.17,0,0,0
