signevent,q1,q2,unid,id,outcome_class
I am taking my family to visit Chessington world of Adventures Resort and we are staying overnight in the hotel there.,"Myself and my children will be arriving at the hotelon Sunday, anytime from 3pm to check in. We can visit the Zoo that day if we like, but our main adventure is the following day. We are having dinner there that evening, followed by entertainment. We will be having breakfast the following morning, checking out and then will head straight for the Zoo. ",I have already booked the accommodation in advance and I have the booking confirmation as proof.,ML750495,133,t
"Relaxing with my wife on Saturday evening, watching a movie and enjoying a glass of wine.","Its usually about 8 o'clock. We pick out a movie, usually a comedy. We enjoy a couple glasses of wine and a snack, usually some sort of meat and cheese platter but occasionally mini pizzas, jalapeno poppers, ect. ",You pretty much have to take my word for it.,Fc762407,134,t
I am going to play handball at the park with my boyfriend and friend.,"I am going to play handball at the park with my boyfriend and friend after I get off of work this week. Since there are three of us, we usually play triangle games. This lasts for a couple of hours until we grow tired.",The park that we are going to is called Dyker Park and has four handball courts.,Sr924419,135,t
Roasting coffee on friday afternoon.,"I roast coffee in my backyard using a heat gun. I roast a half pound of beans at a time in a frying pan, and move the heat gun in a circular motion over the pan while stirring with a whisk to roast the beans in about fifteen minutes. I then cool the beans in a colander over a fan.","Coffee is my hobby. I enjoy roasting it, brewing it, drinking it, and reading about it.",eu448282,136,t
going sea fishing with my daughter,"we are travelling to great yarmouth on saturday, and plan to do some sea fishing on monday. we will be fishing from the beach, although i said if there are any fishing trips on boats that look good, we'll give that a try too. we'll be fishing lure, in the hope to try and catch fish like mackarel or cod.",were going to great yarmouth for a little break/holiday. we already go fishing to local carp lakes/ponds. so were quite excited about fishing in another location far from home.,OP152181,137,t
I am going on a long walk in the countryside near where I live. I'm looking forward to this.,"I live in a rural location, but don't get as much time as I would like, to experience it. I am relatively fit, but there are quite steep hills covered in woodland, so by the end of the walk, i will probably be tired.","I live in a rural location, on the edge of a  village, so it is not ulikely that at some time or other I would go for a walk.",ot317342,138,t
Drive my new car,I am very excited to drive the new car I just bought. I cant wait to see who it handles when it drives. And the new car smell is great.,I spent alot of money on it so it is important to me,yW949412,139,t
Attending a family barbecue at the weekend,"Over the weekend, I will be going with my girlfriend to visit my cousin who is hosting a barbecue for our family. He is coming back from Canada after 2 years so we will all be eating and having a couple of drinks together as we haven't seen him in so long.","We have specific details to the barbecue, it will start at 2 in the afternoon and continue until early evening, we have many documented discussions on it and there is a Facebook page for the event that can all be provided to show that I am telling the truth",Ss651896,140,t
Go swimming with my daughter,Go with my daughter to the local swimming pool and swim. Swim in a pool of water together.,"We will be going to the pool on the weekend on Sunday at around 10am, you can come see us.",Bf619013,141,t
Visiting a best friend in London,I will be visiting a good friend of mine in London because his dad passed away in June and I haven't had the chance to see him since then. It has also been over a year since we both met so the coming weekend is going to be exciting and nice to finally have a catch up.,I have booked my train tickets already to London Euston station to depart Friday and return Sunday. Chose not to drive because London is chaotic.,XP015615,142,t
Swing dancing class,"It's run by a lady called Susan and we meet in the scholar's cafe on Thursday between 7.30pm and 9.15pm. It only costs a fiver, which is good for two hours of dancing, and soon the price will disappear since we don't need to pay room hire. 
Participants aren't as good as at my old swing class, which is kind of bizarre as they've been doing it longer. It kind of puts me off, actually. They're not very confident so they often make mistakes, but when they do it has a knock-on effect: I make a mistake, then they see my mistake and make another... we've got to stop dancing because we're at sixes and sevens.","You can check out their Facebook page (Preston Swing) - that'll confirm when and where it happens and sending a message to the page will introduce you to Susan. For an individual indicator, how about mentioning that they have a new girl from Durham.",wU820982,143,t
Going to friends bbq to celebrate her husband returning back home ,Going to Laura's house for a bbq tomorrow evening. Taking my children and husband and will probably have a couple of beers ,"Laura has bought a huge bbq pack from the butchers Abd I'm
Going to make the salads and pudding. She's been busy cutting her grass and sorting out her garden, so it's ready for tomorrow night.",hs273874,144,t
Going to a holiday cottage in the countryside with friends,"I am going away with my partner and 5 other friends to a holiday cottage in the countryside. We are going for 2 nights, will play drinking games, visit local attractions and spent a lot of time chatting.","We will be visiting a trout farm and a sculpture park; myself and my partner will arrive later in the day than others, and two other friends will visit the supermarket first. The cottage has 4 bedrooms and 5 bathrooms, and is on a quiet country lane.",pk585949,145,t
It'll be my birthday this Thursday. My parents are planning to take me out to lunch at a Chinese buffet around 10:30am. ,"My parents are treating me to a birthday lunch at a Chinese buffet restaurant at around 10:30am this Thursday. I'm excited because it's my favorite restaurant that I always used to go to as a kid, so it holds many fond memories for me.","My birthday is on July 26th, and my parents have already made the reservations.",bP174245,146,t
Watching my partner have a c-section for the birth of my second child,My partner is booked into the hospital next Tuesday for a planned c-section for the birth of my second child,I can give the hospital address and give specific birthing documentation ,lr585955,147,t
Meeting a family member I haven't seen in a few months.,They are staying over for a few days and we have a table booked at a nice restaurant.,I'll be seeing them in the next few days and going out for dinner.,FA264336,148,t
"My birthday is on Friday. Myself, my husband and my siblings have all booked to go to Blackpool pleasure beach ","We will arrive at 9am in order to collect our wristbands for a day of fun, going on rides and eating candifloss. The last ride finishes at 7pm so we’re hoping the queues aren’t too long, as it’s now the summer holidays, and we get to go on all the rides. ","My date of birth is 27/07/1994. Myself and my husband have booked annual leave off from work to celebrate this and as my siblings are university students, they will be available to attend. 
The wristbands costs us £28 each when we booked online, but had we booked 1 day earlier, we would have only paid £25 for them. ",Dn060605,149,t
My leisure activity is to read a whole book without interruption. I’m hoping for Thursday 7pm-10pm.,I have been caring for my I’ll mother and my husband is playing with his band that evening. I need an escape but I’m too tired to go out ,I can’t leave the house I don’t have anyone to care for my mother. I love to read and I bought this book about a month ago so it’s already in the house. I’ve picked it up twice but had to stop to do things for my mother. ,Uy123323,150,t
I have MoviePass so I'll be going to the theater near me on Sunday morning to see Mission Impossible Fallout.,I'll be picking up my friend on Sunday morning around noon and heading to the Edwards theater to see the matinee showing of Mission Impossible Fallout starring Tom Cruise.,The movie comes out this weekend and it looks good and it's getting good reviews so I want to go see it ASAP and on Sunday morning there won't be too many people at the theater so I can get a good seat.,ls177458,151,t
Later today I am going on a spa break with my husband. We are heading to a 4 Star hotel in Norfolk for two nights,"We are going on a spa break for two nights, and whilst there we are planning on swimming, having afternoon tea and reconnecting with each other. ","We are going to stay at Dunston Hall in Norfolk, which we discovered last year. This time we have upgraded to a suite and included dinner in our reservation. ",ni641449,152,t
I will join my friend to hike the  Hollywood Hills. It will help clear my head and my lungs.,"I will firstly get the right running shoes on in the morning, and I will walk a few blocks to Wattles Park. My friend will meet me at the front gate of the park and we will make our way through the shrubbery which eventually adjoins with the Hollywood hike path, ",My personable nature feels real and the way I describe hiking and the feeling make sense. ,xs478318,153,t
meeting up with four friends to start a new campaign of Dungeons and Dragons,"Tomorrow night, I'm meeting up with four friends to start a new campaign of Dungeons and Dragons. I'm particularly excited for this because it's been over a year since I was last playing in an active campaign, and because what I know about the campaign so far sounds awesome. I'll be playing as a frog-person that has swamp magic flowing through its veins.","I doubt anyone would bother lying about the details of a DnD campaign. It's weird enough that it's hard to lie about it - one of those ""truth is stranger than fiction"" sort of things. Also, no one would bother to name a DnD character they weren't going to play, and I've named mine (he's Touddun ""Todd"" Wymirm).",cG296645,154,t
Having tea with my boyfriend's parents,"We are having tea at my boyfriend's Mum's house, she will be cooking us a lovely 3 course meal",We have arranged to have tea at her house this coming Friday and we're looking forward to having delicious food,BN141333,155,t
Day trip to the beach with a friend on sunday,"I'll meet my friend at the station and get on a train to Margate. Neither of us have been before so we'll potter around town, then either have a picnic lunch or go to a cafe. We'll spend the afternoon relaxing on the beach, then probably get a few drinks before heading on  the train home",I'll show you some pictures or post from social media. It's a hot Day in summer holidays and we have been planning to do this trip for a while....lots of people have recommended margate,KC415459,156,t
online gaming,we raid a dungeon in world of warcraft for typically 2-4 hours trying to kill all bosses,It's enjoyable and there are 40 of us doing it,hN358949,157,t
Playing video games,"Usually in the middle of the day I turn on my PS4 and play a video game. Most recently, I've been playing the Crash Bandicoot Trilogy Remake. Before that I was playing Battlefront 2.","I've been playing video games all my life and whenever I'm not out with friends, doing work around the house or working, that's most likely what I'm doing. I have a big library of games that I've collected over the years but only stick to one at a time due to time constraints.",Qu399678,158,t
fishing,i like to fish on lakes for carp I'm a member of a local fishing club and i only get chance to go every second weekend so i try to make the most of it especially since we are having such good weather at the moment i like to stay overnight in my tent i usually arrive on saturday morning and pack my things away around 10 am on sunday,I've been a keen fisherman since i was a child and after a stressful work at week i like nothing better to go fishing to unwind and relax we are enjoying hot weather at the moment so its great to be at one with nature my fishing club membership cost a lot of money and also i have spent a lot of money on my fishing tackle so I'm determined to get out and use it as much as i can whilst  its nice weather,AQ380665,159,t
"On Sunday, my family and I are going to a local event called 'Festival of Heroes' at a nearby Roman Villa","The festival runs over the whole weekend, but we only have tickets for the Sunday. It's an annual family festival where there are a lot of people dressed up as children's favourite characters. There's performances and meet and greets throughout the day.",I bought the tickets online (the proceeds go to a local charity) they were £3 per person and under 2's go free. It starts at 11am and finishes at around 4pm.,Qk125956,160,t
Read a book about a moral panic in the 1980's.,The book is about the satanic panic. I'm very interested in cultural panics and alternative beliefs to mine. Very interesting topic. It covers the whole backmasking controversy and other topics related to it.,The satanic panic did exist and several books were written about it .,dh565100,161,t
I will be going to a fitness class Thursday evening at my gym,"The fitness class is called 'Body Conditioning' and will start at 6:15pm on Thursday and finish at 7pm, although sometimes it overruns to 7:05pm. It is only a 5 minute walk to my local gym from where I live, but I like to get to the class early so I leave at 6pm. The class is on weekly and I go every week, although I missed last weeks class because I was out of town.","The class is advertised on the gyms website and is held every week at the same time, with the same instructor. I go to the class regularly and the instructor sees me as a 'regular'. I have been going for the last 10 months so I know that the class sometimes overruns by 5 minutes, and I know the exact amount of time it takes to walk to my gym from where I live.",OC986081,162,t
playing Counter Strike Global Offensive with friends.,"Counter Strike: Global Offensive is a team-based first person shooter where opposing teams are aiming to either complete objectives, or kill the other team entirely. Communication and tactical parlance is vital when trying to achieve victory over the enemy.","I can't really give anything but my word, but as a 19 year old male who has friends in many circles, including online and geek communities, and because CS:GO is a very popular game with a thriving cybereconomy as well as a very in-depth competitive scene which includes international championships, it is very likely that I could play this game.",Vm111279,163,t
My sister and I are meeting up with our children,"I am meeting my sister and taking the children to the splash pad, whilst my sister as a meeting then I will be catching up with my sister, as we live 11/2 hours away",My sister called last night to plan this. We have even arranged to park in the same carpark. I am planning on going earlier so I can pop into town for a bit of shopping first.,cp817235,164,t
This week I will see a bad horror movie. ,I will go to the movies this weekend with my wife when we feel like going out.  We will go to the local theater with the nice comfy recliners to see it.  It will probably be dead as it's a sequel to a movie that not many people liked.  Planning on having a good laugh.,"It's actually uncharacteristic of me to waste money on a movie that I know is going to be bad, so even my friends might not believe me.  But this is a special case because the plot of the movie is really dumb and has a lot to do with the internet.",IO629156,165,t
Going to a video game convention,I will be leaving early in the morning to catch the bus to Seattle. I will be meeting up with friends at the station and going to the convention together. We have plans to visit a few panels and talk to a few streamers we like to watch. The event should take place all day. The goal is to leave the convention center around four p.m. so we can grab dinner at Gameworks before separating to head home.,I have my bus schedule itinerary. I'll be catching a 6:15 a.m. bus. I should reach Seattle about 8:30 a.m. From there I'll need to catch the light rail departing about 9:00 a.m. to make it to the convention center about 9:30 a.m.,di159020,166,t
I am going out for a few drinks with my friends on Sunday night to see a band play live.,I am meeting up with some old friends and going to see the American punk band T.S.O.L.,"T.S.O.L are playing at the Brudenell social club on Sunday July 29th, I have never seen this band before, so will not miss it.",aG027340,167,t
"I will be picking my daughter up from Manchester airport on Thursday at 7.55am, she has been away for 12 months travelli","I will be picking my daughter up from Manchester airport on Thursday at 7.55am she has been travelling for 12 months from South America to Alaska, I can’t wait to see her! ","She is on flight mt2710 from Vegas to Manchester, she has to had to fly anchorage to Denver, Denver to Vegas then Vegas to Manchester ",Jk396974,168,t
Meeting with friends and their babies for a play date ,Meeting with two friends and our babies for lunch and a play date at the local discovery centre. ,"Meeting at the local discovery centre at 11am. Babies will eat lunch at 12pm and we will follow. We will then head to the play area for the babies to crawl around and play, whilst us mummies have a gossip. ",YS437132,169,t
Laundry to wash any dirty clothes.,Taking out the dirty clothes from the two suitcases and possibly the dirty bin as well and wash them.,Tomorrow or at least soon I will get to my task.,uH015402,170,t
Watching anime with snacks by myself.,I turn on my computer open my anime streaming website and grab a bag of chips to snack on.,I just watch my hero academia once a week right now because it's currently my most interested show. It's sort of like a weekly ritual to relax and unwind now.,Ql235667,171,t
On Saturday afternoon I will eat lunch with my friend Gemma,I will meet Gemma in town and we will visit Wagamama to eat and chat ,I know I'll meet her at the train station and I know I'll order chicken katsu curry,um410968,172,t
Playing Dungeons and Dragons with my friends Wendesday afternoon-evening.,"I get together with my friends and we play D&D every Wednesday, from 6 to 11, give or take a few mins either way.","I go to a local game store and play in a group game with a group I've known for a few years now. I've only played with them for a year or so in this particular campaign, but we've played other games and systems.",Su343692,173,t
i'm going to get lunch with my friends on thursday.,"i haven't seen my friends in a while since i transferred positions in the company i work in, so we planned on going to get lunch on thursday to catch up for lost time.","we are going to get poke at a place called poki yaki in buena park, california.",Ym583201,174,t
Going to a theme park with my girlfriend,Me and my girlfriend are going to Alton towers in the next 7 days. We haven't been there together and this will be our first time.,We are going  on Wednesday the 25th. We have already booked the train tickets which cost £21 for a return. It will take 2 hours to get there. We are buying the tickets for the theme park on the gate,DO227945,175,t
"I'm taking my children to London Zoo on Monday, as we are on holiday in London for a week.","I'm taking my kids to London Zoo on Monday. We are on holiday in London, and my youngest son who is 5 loves zoos and especially giraffes. ","I have 4 kids aged 5-13 and my youngest especially loves zoos, and he doesn't know I am taking him yet so I am excited to surprise him when we get there in the morning.",ir613142,176,t
Painting a watercolour portrait for my Mum's birthday present.,I will be using White Nights watercolour paints and a sable hair round brush to paint a watercolour portrait of my mum for her birthday present.,I will be using artist quality paints and paintbrushes to ensure I get an archival quality painting for my mum. I expect it will take me half a day to complete.,Bn981531,177,t
In the last 7 days I went to my local rock climbing place,The activity is where you have to climb up a rocked wall these aren’t very high around 5 meters tall and you have to get to the top without falling,I do it every week to keep up my fitness levels,qS216725,178,t
Visiting Jedburgh with my husband and children on Monday 23rd July to visit Mary Queen of Scots house.,"I will travel by car with my husband, son and daughter, from my home to Jedburgh on Monday 23rd July, leaving at approximately 9am. We'll park in the large car park on arrival and have a walk around the high street before moving on to visit the main attraction for us, Mary Queen of Scots house.",We'll be travelling from around 9am and the journey will take approximately 1 hour from our home to Jedburgh. We're planning to park in the large free car park designed as a stop for people travelling on to Edinburgh and have planned to take our 20p in case we need to use the public toilets. We plan for the children to play in the park next to the car park and to visit the cafe next to Boots on the High Street.,MA394820,179,t
Going on holiday to Guernsey,"I will be driving to Poole Harbour with my family, where we will drive the car onto the ferry and sail to Guernsey. The trip will take 3 and a half hours. We will be staying with family for a week. We will spend lots of time on the beach and catching up with family and friends.",I am from Guernsey and spent the first 35 years of my life living there. We go back each year to see our family and friends who still live there. ,xA269991,180,t
Going for a day trip to scenic rural locations with my mother and sister ,"We will take a trip this Sunday to some destinations up north of Melbourne. We haven't decided where exactly we will go, as we are tossing up a few options, but we want to drive to somewhere with a rich natural landscape, i.e. forests (which describes most of the countryside, hence the difficulty choosing a location). My mother suggested we should try and find some markets and op shops to visit, to get a look at the local crafts and produce. We plan to leave mid-morning and return whenever we feel like it, probably 4 or 5 pm. ","If I were lying I would likely name a specific location to overcompensate and sound more convincing. The idea for this trip was spontaneously suggested by my mother who wanted to get away from the house and do something for this weekend, so we are still fine-tuning the destination. ",jE483201,181,t
Tomorrow morning I'll be driving 7 hours away to visit my long-distance boyfriend for his birthday. ,"Tomorrow, I'll be driving 7 hours to visit my long-distance boyfriend for his birthday. Tomorrow is Saturday, but his Birthday is Wednesday, so I plan to stay until Thursday. We are pretty broke so we won't be doing anything wild or expensive, mostly just everyday activities that we aren't normally able to do like cuddling. In preparation for the trip, I burned 6 CDs today, because my aux cord is broken and I can't afford to replace my stereo at the moment. Before arriving at his apartment, I plan to swing by the store to pick up soft pretzels and beer for our reunion. His roommate, Mark, is gone for the weekend, which we are both happy about. Even during our infrequent, brief visits to each other, we rarely have very much privacy.","I am up at 3 a.m. completing this survey because I am too stressed from thinking about the drive tomorrow to sleep.  I spent many hours today working on a birthday card for him. It's not quite done but I finished a fair amount before doing this survey, and now it is drying. I will wake up early and finish. Card-making is a hobby of mine, but I take it to a level that I have not seen in any card-making instructions online. Every card I make is kind of a work of art and takes a long time to design, trial run, and complete. People have told me I should go into it professionally, but I've seen comparable cards priced at $15 and that would not be worth the materials cost and time I put into a single card. Plus, the time, effort, and care I put into my cards is not something that I would want to sell - it's only for people I love. So, I'm up late, fingers and neck very strained from working on the card, and totally, utterly unable to sleep, despite the fact that I will have to undertake a 7 hour drive in... less than 7 hours from now.",GW950561,182,t
A work leaving party next Friday. Meal after work followed by drinks and possibly into town for more drinks.,"12 of us from the office have booked a table at a local bar/restaurant next Friday. One of the group is leaving that day (and it’s payday). The idea is to eat first, possibly a few drinks afterward then those with the energy will head into town for more late night drinks.",Friday is a traditional night for leaving parties (can go straight from work). The last Friday of the month is traditionally payday for monthly paid staff (always a useful incentive).,Wg903065,183,t
a cross country mountain bike race,"My aim is to complete and hopefully win a 60 km mountain bike challenge that involves riding over mountain trails, through rivers plus going up and down almost verical slopes - without any rest in between.",This one you'll have to take my word on as the event is run by my local mountain bike club.,ad343917,184,t
Hosting a surprise get-together for my mom's 79th birthday for her and her friends,"My mother's friends are taking her out to dinner to celebrate her 79th birthday, and while they are out, I will purchase desserts and drinks and take them to her house.","Why would I lie about something as boring as that?? If I wanted to lie, I would make up something a lot more exciting than a get-together for elderly women! I ordered a fruit tart and cheese rolls from Porto's Bakery in Downey, CA, U.S.; you can look at their website and see pics of the goodies I'm getting. ",wj466404,185,t
getting to spend some quality bedroom time with my husband tomorrow night,"Well the specifics is I'm going to have some very much needed alone time with him. We're going to have sex. There's not much to explain, i'm going to jump him when he gets home from work in a cute outfit.","Since i work nights i rarely get to see him. I see him maybe for an hour a day. The rest of the time i'm either taking care of the kids, sleeping or cleaning. This is the one day a month we actually have time off with each other and the kids are away. ",vv502444,186,t
Child free trip to the pub,Cycle to the village 3 miles away with my husband and friend. Enjoy a drink in the evening sunshine then cycle home after closing time.,Child free nights are very rare so I wouldn't waste them at all,XD724278,187,t
Visiting grandparents with all the children tomorrow (Sunday) to have a barbecue.  This will be between 1pm and 5pm.,"We will be driving to grandparents house with the children for an afternoon barbecue, assuming that the weather remains good (if not we’ll just make food in the kitchen!). A lot of the extended family will also be attending - part of this is to meet the latest addition to our family, our 4 week old baby boy.","Well, there wasn’t exactly a public announcement regarding the barbecue, but we have a very large extended family and gatherings like this are fairly commonplace for us. If it wasn’t for wanting to protect anonymity, I could give out the address and names of everyone attending! ",ya231957,188,t
"Celebrating my cousin, Danny's 18th birthday with a party at the Oaklands",On the 28th of July I'll be celebrating my  cousin Danny's 18th birthday with him and our whole family by having a party at the Oakland's grill pub at 7pm. ,"Well why would I lie about that? Surely I'd pick a different activity if I was lying? Danny is my Mum's, brother's son. ",UX909289,189,t
Sequence and Line Dancing,"I dance twice a week, at different venues in Leicester UK. The sequence dancing is a set amount of steps done to music. The venue we go to also do Ballroom dancing as well. Ballroom dancing is where you can do any type of dance whether it be Waltz, Quickstep, Tango or Cha cha, which isn't a set dance. Linedancing  is similar to sequence dancing but this is done without a partner, but it is still a set amount of steps done to music.","The First Sequence dance I learned was a dance called The Square Tango, I was only four when I started Sequence dancing. Later when I got married my husband introduced me to Linedancing, which in a way as probably took over Sequence and Ballroom dancing for me especially.",vU417504,190,t
"Meeting up at the house of some friends today to watch nostalgic anime, play board games, eat and drink.","So, years and years ago a couple of us attended an anime convention on a university campus. One night, I heard a lot of absolutely hysterical laughter coming from the floor below my room. I went down to find a lot of people watching soft yaoi (Japanese male/male animated porn) with an alternate, comedy subtitle track. Someone had also cut audio from Fear and Loathing in Las Vegas into it, and scenes from The Power Puff Girls. It was hilarious. They were giving away free copies, so I nabbed one. The original is called My Sexual Harrassment. The comedy sub is called Boku No (My) Sucky Sucky. I hauled it out of it's hiding place and we're going to watch it with some new, unsuspecting friends. Plus something better and more wholesome like Fruits Basket and Cowboy Bebop. Then maybe play Dixit, or The Resistence... or finish off with Card Against Humanity, just to drag us back down into the gutter again. There'll be junk food, take away, beer, and cocktails.","Would you like a screen grab of the FB chat organising it? Otherwise, literally none. I'm some random person behind a screen. I could have made that all up for a laugh. People make up weird things. Though Boku IS real, but good luck finding it online. All I could find when my disc wouldn't work on my player was the original and a few forum posts mentioning the spoof sub. It worked on someone else's player though, so we're hoping it works at this particular friend's place.",iY049526,191,t
Dedicate myself to the investment in cryptocurrencies,In my spare time I like to devote myself to studying the Forex market and cryptocurrency,For two or three years now I have been investing and studying cryptocurrencies as a way to secure and multiply my capital,mc580000,192,t
"We will be getting together as a family, we will be meeting at a house in London.","My husbands parents, his bother, partner, child, our family and his mum's cousin and their family are all getting together in London at their family home. We don't see each other very often so this is a big family event.",I could tell you who is going to be there and where we are going.,pk849759,193,t
I don't plan leisure time but my sister b-day is on the 27th so ill spend some time with her when she's off work (3pm),"I will wish her a happy b-day, talk to her while she eats her cake. I will probably give her some advise since she tends to ask me things like that from time to time. We'll probably head out to her favorite restaurant with the entire family",I am not a hundred percent sure how to convince you of my honesty. you do not know me. i can tell you my sister is going to be 30.,DJ754452,194,t
"Watch the remaining season and a half of the television show ""Sanctuary"".",It is pretty self explanatory. I simply intend to watch the television show until completion.,"I have been watching the show over the last couple of weeks, two to four episodes a night most nights. I have been watching it on my laptop while running the show at 1.5x speed in order to save time. I expect those same conditions will continue this week when I resume watching the show, which will hopefully be finished within a fortnight.",Pa180589,195,t
Going to a garden centre at midday and staying there until 2 pm,I will leave the house at 11.30 to catch a bus to Almondsbury Garden Centre and arrive about midday.  I want to buy some mint for the garden as I have two other mints (ginger and moroccan) and want to add to collection,I have a large garden and it is my passion.  My partner and I want to do something together and we already decided before doing this survey to go to Almondsbury today.  If I was lying I would be more creative.,HJ364674,196,t
i will be spending time with my family and friends and using my leisure time at the swimming pool.,i will be spending time with my family at home WATCHING TV AND POSSIBLY GOING TO THE PARK. THE OTHER HALF OF MY HOLIDAY WOULD THEN BE USED TO TONE UP AT THE LEISURE CENTRE'S SWIMMING PEOPLE.,"YOU CAN SPY ON MY LEISURE CENTRE AND PROBABLY SEE ME GOING IN AND OUT
",ss630240,197,t
Going shopping with my daughter for birthday presents,"Its my daughters birthday soon and I don't really know what to get her, she'll be 17 so doesn't really like my choices, she wants some new clothes for a concert she is going to",Its her birthday at the beginning of August and as we are now in the school/college holidays we have time to go together and she can choose what she wants while I pay,Gy168965,198,t
Visit the beach with my daughter to swim in the sea,We will catch the train at about midday and arrive 45 minutes later. We will then go to the supermarket to buy a picnic. When we get to the beach we will swim and play in the sand until my daughter gets tired.,"It's summer, the weather is nice, the kids are on summer holidays.",mB112680,199,t
Complete the travel plans for my holiday in Ireland with my family,I need to discuss with my parents which hotels and Airbnbs to book for our upcoming trip. I will need to research what places we want to visit and figure out the total cost of our accommodation during my time in Ireland with my family.,I have a flight booking that confirms I am flying to Ireland in the next two weeks. My parents have another booking for the same date. I have also taken annual leave from my employer for this holiday. I need to plan my stay in advance otherwise I won't be enjoying my vacation.,En387237,200,t
I am going to a makeup lesson at the Dior counter in Frasers in Glasgow with my friend. After that we are going to get l,I'm going to a makeup lesson at the Dior counter in Frasers in Glasgow with my friend ,It's at 11.15 and we booked it two weeks ago when we were inn shopping. I have an appointment card in my handbag. My friend is Gaynor.,lr189386,201,t
"I really enjoy going shopping, especially for clothes, it doesn’t matter if I need anything or not just browsing is nic.","I really like browsing the shelves for new things, either make up or shoes or trinkets for the house. Even if I don’t buy anything I like to look around and if I buy something unnecessarily it adds to the experience for me. I especially love looking for new things for my children.","I think it’s the new products that I like about browsing the shops. Or maybe it’s the gathering part of my personality that makes me collect so much, but either way it’s enjoyable for me, and I’m sure other people feel the same about shopping too. ",OD580554,202,t
Playing a videogame with my spouse to accomplish a specific goal in the game,"My spouse and I enjoy playing videogames together online, especially helping one another to accomplish specific goals. Right now, my spouse is attempting to reach a goal that requires a great deal of in-game planning and resource gathering to complete a set of challenges. I'm really looking forward to helping him reach this goal, as it is the furthest that either of us have gotten in this specific game. We have set Tuesday night as the time to have everything ready to go and hope to have both our characters and the resources to fulfill the challenge prepared. For those who are interested or know about this game, the game in question is Path of Exile, and we are trying to beat more league challenges than we have in the past, currently we are at 20 challenges complete with a goal of hitting 24.","I have tried to give specific, easily checked information, such as the name of the game and the nature of the challenges. Path of Exile is a well known free-to-play game that has league challenges which reset periodically.  I have also tried to give very specific, concrete information about when we wish to accomplish this activity and with whom I wish to accomplish it. It would be silly to have looked up a game name and specifics about the mechanics for a lie about such a mundane leisure activity.",IV945391,203,t
I am attending my sisters baby shower tomorrow ,I will arrive at around 11am to help my sister set up the games and finish off making sandwiches and setting up the cakes. People will arrive at around 12pm. I believe there to be around 17 people coming.,My sister is 8 months pregnant and is due on 17th August. She is having a little girl. We spent the day yesterday making cakes in preparation for this. I do not live in the same city as my sister so caught a train on Thursday night to stay here for the weekend. ,rU888143,204,t
I will be going to celebrate my auntie's birthday. I will be having a meal with my family and then having some cocktails,I will be going to a meal at the conquerors march. I will be picking up two of my cousins on the way to the establishment and will be meeting the rest of my family there at 8pm. We already have our table booked so we know there will definitely be space for us as we are a large family. We will then follow on from dinner by having cocktails.,"I will be picking up my two cousins from their house at 7.30pm and then meeting the rest of my family including my auntie at the Conquerors March, which is where we will be having our meal. The table is booked for 8pm. We will then move on to having a few cocktails. I have already decided upon my outfit, a black dress with shoes and I cannot wait!",oE500722,205,t
"Meeting up with a family who are very special friends, to spend a day together.","The Brayshaws are coming to visit me at home. We meet most years at this time as they were close friends with my daughter who died in 2008, and this is the anniversary of her death. They are some of the only people who now make an effort to remember her at this time, and it means a great deal to me.","They will travel from their home near Perth. There are 3 sons, ranging from 10 down to 4 in age. We are planning a picnic in our garden, which is large and full of trees and grass and places for children to play. I am really looking forward to this meeting as I treasure their continued friendship as a part of remembering my daughter as well as because they are really lovely and real people - there is no need for any of us to 'put on a show' with each other.",ij721985,206,t
Staying over at my sisters' to babysit her dog while she goes off to babysit her grandchildren.,"My sisters' dog is a very large puppy and is too boisterous to be around young children at the moment. I will go over and look after him while she goes to babysit her grandchildren. I will play, walk and feed him and sleep over.",It is a large breed dog and therefore large as a puppy and shouldn't be around children if it wants to play for fear of knocking them over.  Also a puppy should not be left on its own so I offered to help out.,oe995503,207,t
On wednesday morning there is a local crafting group that I attend. ,"I attend a local 'knit and knatter' group at the village hall, I am always the youngest person there with many over 60 attending. It's great fun to get to know more people in the community I live in whilst having a chance to relax, enjoy a bit of cake and talk about the project I'm making. This week I will bring the pair of socks I'm knitting as well as a cake I've made at home, this will probably be a lemon drizzle cake. I've been going to the knit and knatter for around 6 months when I was made aware they were running. ",It is held in the local village hall where around 14 women meet at 11am-1pm every other Wednesday. Refreshments are provided by those attending who bring what they can afford that week. There is a small £2 charge for attending to cover the cost of the hall. ,zv524727,208,t
Go to the gym,"I go the gym by bus, where I will use the running machines as a warm up, cycles and adductor machines, along side others, as part of my typical routine, I have also just started to use weighs","I have a membership card which is in date and renews monthly, as well an online account with the gym which shows my membership and activities",Ir953667,209,t
Taking my 2 year old daughter to the beach with my partner and our dog,"My partners day off work is thrusday so we will be spending a family day out at the beach as it's my daughters favourite place to go, we will also be taking our dog along for the day out too","My partner has thusday off work, the beach is my daughters favourite place to go so we will be going there to spend some family time together, our dog suffers with being left on her own so we will be taking her with us too (it is a dog friendly beach) ",Qb499040,210,t
Dog Walking,"For my dog walk i normally take around 30 minutes twice a day, my dog is a chocolate labrador and loves to be out and about.  Hopefully I will be able to take my dog to the local beach at least once during the next week as she loves the water",As my dog is a labrador if she doesn't get out of the house at least twice a day she  gets bored and starts chewing things and getting into mischief.  ,Kn938058,211,t
